epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7839,1.82236,3.9761,1.28373,0.01135,0.41742,0.07048,0.03452,1.75161,3.73651,1.15199,0.000297589,0.000297589,0.000297589
2,57.5414,1.92804,2.89489,1.2399,0.36947,0.21709,0.1667,0.08363,1.8704,2.78278,1.22985,0.000481673,0.000481673,0.000481673
3,86.3882,1.8254,2.45517,1.20476,0.43529,0.31139,0.25501,0.13335,1.85501,2.39062,1.20273,0.000545768,0.000545768,0.000545768
4,114.538,1.7799,2.28413,1.18205,0.36215,0.33112,0.31102,0.17001,1.82821,2.2077,1.19419,0.000369054,0.000369054,0.000369054
5,142.849,1.73781,2.15772,1.18866,0.4088,0.38141,0.34705,0.18387,1.80036,2.04517,1.17603,0.000189072,0.000189072,0.000189072
